URL,length,isIp,countAt,countDoubleSlash,countHyphen,countDots,countDelimeters,countSubDirectory,countQueries,alexaGlobalRank,domainRegistrationLength,label
http://shagali.com/shiro/437594df261a1e7222745388/confirm.php?ID=1&amp;myca/logon/us/action/LogonHandler?request_type=LogonHandler&amp;Face=en_US?377c93831503755c39f0e9aaa66b01e2&amp;path=/signin/?referrer,205,0,0,1,0,2,16,11,4,-1.0,-1,1
http://https-security.esy.es/recovery-chekpoint-login.html,58,0,0,1,3,3,0,3,1,-1.0,-1,1
http://www.netflix-notifications.com/,37,0,0,1,1,2,0,3,1,-1.0,-1,1
http://sec-verifyfb-login-fbpages.esy.es/recovery-chekpoint-login.html,70,0,0,1,5,3,0,3,1,-1.0,-1,1
http://recever0076.esy.es/recovery-chekpoint-login.html,55,0,0,1,2,3,0,3,1,-1.0,-1,1
http://forexmobidea.com/wp-content/plugins/bwp-google-xml-sitemaps/assets/auth/details.htm,90,0,0,1,4,2,0,8,1,-1.0,-1,1
http://geekgamergirl.com/wp-admin/America/AOL/index-aol.html,60,0,0,1,2,2,0,6,1,-1.0,-1,1
http://www.paypal.com.base-web.nut.cc/webapps/34dcf/websrc,58,0,0,1,1,5,0,5,1,-1.0,13,1
http://beyondcolorzpainting.com/chima/AOL/aol.htm,49,0,0,1,0,2,0,5,1,-1.0,-1,1
https://hentainarutogirls.com/EserviceMain/irs/ir/index.html,60,0,0,1,0,2,0,6,1,-1.0,-1,1
http://freetoonz.com/EserviceMain/irs/ir/index.html,51,0,0,1,0,2,0,6,1,-1.0,-1,1
http://htpp-security.esy.es/recovery-chekpoint-login.html,57,0,0,1,3,3,0,3,1,-1.0,-1,1
https://login.live.com/oauth20_authorize.srf?client_id=00000000481D3BC6&scope=wl.signin%20wl.basic%20wl.emails%20wl.contacts_emails&response_type=code&redirect_uri=http://css.web1641.kinghost.net/Outlook/login.php,213,0,0,2,0,11,13,7,4,0.07142857142857142,24,1
http://www.poliformas.com.mx/deans/AOL/aol.htm,46,0,0,1,0,4,0,5,1,-1.0,-1,1
http://cambriatrails.org/accc/aol.htm,37,0,0,1,0,2,0,4,1,-1.0,-1,1
http://sreechaitanyacollege.org/new/update.htm,46,0,0,1,0,2,0,4,1,-1.0,-1,1
http://10654561521.esy.es/error3245562.html,43,0,0,1,0,3,0,3,1,-1.0,-1,1
http://1000000696596.at.ua/654165415/100000085415415.html,57,0,0,1,0,3,0,4,1,-1.0,-1,1
http://fb-support-recovery.hol.es/privacy-settings,50,0,0,1,3,2,0,3,1,-1.0,-1,1
http://kinecc8787.esy.es/,25,0,0,1,0,2,0,3,1,-1.0,-1,1
http://onlyincebu.com/wp-content/themes/twentyten/.b/,53,0,0,1,1,2,0,7,1,-1.0,-1,1
http://shop.ideamarketspa.cl/webapps/89220/websrc,49,0,0,1,0,2,0,5,1,-1.0,-1,1
http://cekpoint-loogin523.esy.es/recovery-chekpoint-login.html,62,0,0,1,3,3,0,3,1,-1.0,-1,1
http://locations-errors.esy.es/recovery-chekpoint-login.html,60,0,0,1,3,3,0,3,1,-1.0,-1,1
http://www.oasidelsaleragusa.it/libraries/joomla/test/,54,0,0,1,0,2,0,6,1,-1.0,-1,1
http://liftin.jp/teoaos/rak229393/rakyat.htm,44,0,0,1,0,2,0,5,1,-1.0,-1,1
http://www.googledoc.patrickinfo.com/gduc/,42,0,0,1,0,3,0,4,1,-1.0,-1,1
http://gmail.silki.tk/ServiceAuth_419.html,42,0,0,1,0,3,1,3,1,-1.0,-1,1
http://virutcham.net/images/team/Nab1/index1.php,48,0,0,1,0,2,0,6,1,-1.0,-1,1
http://virutcham.net/images/team/Nab1/,38,0,0,1,0,1,0,6,1,-1.0,-1,1
http://noid-project.de/ABN/index.html,37,0,0,1,1,2,0,4,1,-1.0,-1,1
http://deoppe.ga/dropbox/drive/,31,0,0,1,0,1,0,5,1,-1.0,-1,1
http://deoppe.gq/adobe/,23,0,0,1,0,1,0,4,1,-1.0,-1,1
http://wellisfarg00-famillies.wapka.mobi/site_1.xhtml,53,0,0,1,1,3,1,3,1,-1.0,12,1
http://facekdnkshsss.wapka.mobi/index.xhtml,43,0,0,1,0,3,0,3,1,-1.0,12,1
http://internetperformance.net/form/logs.html,45,0,0,1,0,2,0,4,1,-1.0,-1,1
https://www.paypal.com-autority.info/signin/492a1/webapps,57,0,0,1,1,3,0,5,1,-1.0,-1,1
"https://services.runescape.com-rz.cf/m=forum/forums.ws281,346,548,23129325,189",78,0,0,1,1,4,1,4,1,-1.0,-1,1
http://Tinyurl.com/pking131,27,0,0,1,0,1,0,3,1,-1.0,24,1
http://www.sorrowandflame.com/pdf/?email=abuse@email.com,56,0,1,1,0,3,2,4,1,-1.0,-1,1
http://bbj-charter.com/yyy/newaol/aol.htm,41,0,0,1,1,2,0,5,1,-1.0,-1,1
http://www.macroerp.com.br/ccs/contrato/wmd/rev.html,52,0,0,1,0,4,0,6,1,-1.0,-1,1
http://thebridgema.com/tescobank.onlineaccountverificationtscbnk001/,68,0,0,1,0,2,0,4,1,-1.0,-1,1
http://directmyaccount.zapto.org/webapps/df568/websrc,53,0,0,1,0,2,0,5,1,-1.0,17,1
http://paypal.com.security.unusual.activity.policy.agreement.resolutioncenteraccountunusualactivity.co.vu/webapps/0e8ef/websrc,126,0,0,1,0,9,0,5,1,-1.0,-1,1
http://www.future2jago.com/2/free.php,37,0,0,1,0,3,0,4,1,-1.0,-1,1
http://fix.it.again.tony.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,169,0,0,1,2,7,0,8,1,-1.0,12,1
http://nmj9c545i0796cnesm468903fdgdfg.890m.com/,47,0,0,1,0,2,0,3,1,-1.0,12,1
http://www.sb45sybvw5ydf65retgyesw.890m.com/,44,0,0,1,0,3,0,3,1,-1.0,12,1
http://activation-online-team-int.co.nf/online/activation/Service/Login.html,76,0,0,1,3,3,0,6,1,-1.0,8,1
http://postesecurelogin.posta.it.bancaposta.foo-autenticazione.kbso6x2odrfxardogzbz2z0eefpdijgtkzxgmplq7qnxyrm5gdu94td8pibx.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,268,0,0,1,3,9,0,8,1,-1.0,12,1
http://randomstring.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,164,0,0,1,2,4,0,8,1,-1.0,12,1
http://majormixer.com/Consult/AdminPanel/index.php,50,0,0,1,0,2,0,5,1,-1.0,4,1
http://postesecurelogin.posta.it.bancaposta.foo-autenticazione.f2rgerucilmkzq2rb0l5tej8pm6jbio4zlyggapsd1hurpvroxmi2lgybqaj.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,268,0,0,1,3,9,0,8,1,-1.0,12,1
http://postesecurelogin.randomtring.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,180,0,0,1,2,5,0,8,1,-1.0,12,1
http://postesecurelogin.foo-autenticazione.alandalaaaaa.is-gone.com/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,187,0,0,1,3,5,0,8,1,-1.0,12,1
